Publication Title,Category,Category2,Language
Annals of Botany,Botany/Plant Breeding,,
Annals of the Agricultural Experiment Station of Suigen (Chosen),Agriculture,,
Annals of the Association of American Geographers,Geography,,
Annals of the Entomological Society of America,Entomology,,
Annals of the Missouri Botanical Garden,Botany/Plant Breeding,,
Annals of the Phytopathological Society of Japan,Botany/Plant Breeding,,
"Annals of the Royal Botanical Gardens, Peradeniya",Botany/Plant Breeding,,
Annual Reports of the Massachusetts Agricultural Experiment Station,Agriculture,,
Annual Review of Plant Physiology,Botany/Plant Breeding,,
"Anzeiger, Akademie der Wissenschaften in Wien",General Science,,
Arbeit aus der Biologischen Reichsanstalt,Biology,,
Archief voor de suikerindustrie in Nederlandsch-Indië,Food Science,,
Archiv für Mikrobiologie,Biology,,
Archiv für Pflanzenbau,Botany/Plant Breeding,,
Archiv für Tierernährung und Tierzucht,Zoology,,
Archivio di scienze biologiche (Bologna),Biology,,
I Georgofili: Atti della Regia Accademia dei Georgofili,Agriculture,Economy,
Australian Geographer,Geography,,
Australian Journal of Scientific Research,General Science,,
Az Idöjárás [The Weather],Meteorology,,
Bayerische Ackerbauzeitung,Agriculture,,
Berichte der Schweizerischen Botanischen Gesellschaft,Botany/Plant Breeding,,
Berichte der deutschen Botanischen Gesellschaft,Botany/Plant Breeding,,
Berichte des deutschen Wetterdienstes in der US-Zone,Meteorology,,
Berichte des Ōhara Instituts für landwirtschaftliche Forschungen,Agriculture,,
Berichte über Landwirtschaft,Agriculture,,
Better Crops with Plant Food,Food Science,,
Bi-monthly Bulletin of the Ohio Agricultural Experiment Station,Agriculture,,
Biedermanns Zentralblatt für Agrikulturchemie und rationellen Landwirtschaftsbetrieb,Agriculture,Chemistry,
Biennial Reports of the Kansas Agricultural Experiment Station,Agriculture,,
Biochemische Zeitschift,Biology,Chemistry,
Bioklimatische Beiblätter der Meteorologischen Zeitschrift,Meteorology,,
Biologia generalis,Biology,,
Biological Bulletin,Biology,,
Biological Reviews,Biology,,
Biologisches Centralblatt,Biology,,
Biull. Iaroviz.,ND,,
Blatt für Zuckerrübenbau,Food Science,,
Bodenkundliche Forschungen,Soil Science,,
Boletín del Instituto Nacional de Investigaciones y Experiencias Agronomícas y Forestales,Agriculture,Forestry,
Bollettino della Società Italiana di Biologia Sperimentale,Biology,,
Bollettino della Società dei Naturalisti in Napoli,Natural History,,
Botanical Gazette,Botany/Plant Breeding,,
Botanical Review,Botany/Plant Breeding,,
Botanisches Archiv,Botany/Plant Breeding,,
Botanisk Tidsskrift,Botany/Plant Breeding,,
Botaniska Notiser [Botanical Notes],Botany/Plant Breeding,,
Botaničeskij žurnal SSSR [Botanical Journal of the USSR],Botany/Plant Breeding,,
British Solomon Islands Protectorate Agricultural Gazette,Agriculture,,
British Sugar Beet Review,Food Science,,
Bryologist,Botany/Plant Breeding,,
Bul. G.F.J. C.C.O. Voronez,ND,,
Bollettino del Regio Istituto Superiore Agrario di Pisa,Agriculture,,
Bulletin Agricole du Congo Belge,Agriculture,,
Bulletin de l'Association Internationale des Sélectionneurs de Plantes,Botany/Plant Breeding,,
Bulletin de l'Association de géographes français,Geography,,
Bulletin de l'Institut agronomique de Gembloux,Agriculture,,
Bulletin de l'Office régional agricole du Midi,Agriculture,,
Bulletin de la Commission météorologique de Seine-et-Oise,Meteorology,,
Bulletin de la Société Centrale d'Horticulture de Nancy,Horticulture,,
Bulletin de la Société Dendrologique de France,Forestry,,
Bulletin de la Société botanique de France,Botany/Plant Breeding,,
Bulletin de la Société d'encouragement pour l'Industrie nationale,Economics,,
Bulletin de la Société des Sciences naturelles de Seine-et-Oise,Natural History,,
Bulletin de la Société languedocienne de Géographie,Geography,,
Bulletin de la Société nationale d'acclimatation de France,Natural History,,
Bulletin de la Société neuchâteloise des Sciences naturelles,Natural History,,
Bulletin de la Société royale forestière de Belgique,Forestry,,
Bulletin de la Société vaudoise des Sciences naturelles,Natural History,,
Bulletin de la direction générale de l'instruction publique Indochine,ND,,
Bulletin de l’Institut Agronomique de l’État et des Stations de Recherches de Gembloux,Agriculture,,
Bulletin des Engrais,Agriculture,Chemistry,
Bulletin of Entomological Research,Entomology,,
"Bulletin of Miscellaneous Information (Royal Botanic Gardens, Kew)",Botany/Plant Breeding,,
Bulletin of the American Geographical Society,Geography,,
Bulletin of the American Iris Society,Gardening,,
Bulletin of the American Meteorological Society,Meteorology,,
Bulletin of the American Soil Survey Association,Soil Science,,
Bulletin of the Chrysanthemum Society of America,Gardening,,
Bulletin of the Czechoslovak Academy of Agriculture,Agriculture,,
Bulletin of the Ecological Society of America,Ecology,,
Bulletin of the Government Botanical Garden Nikita,Botany/Plant Breeding,,
Bulletin of the Green section of the U.S. Golf Association,ND,,
Bulletin of the Illinois Agricultural Experiment Station,Agriculture,,
Bulletin of the Illinois Natural History Survey,Natural History,,
Bulletin of the Institute for Experimental Agriculture in Georgia,Agriculture,,
Bulletin of the Miyazaki College of Agriculture and Forestry,Agriculture,Forestry ,
Bulletin of the New York Botanical Garden,Botany/Plant Breeding,,
Bulletin of the New Jersey Agricultural Experiment Station,Agriculture,,
Bulletin of the New Zealand Department of Scientific and Industrial Research,General Science,,
Bulletin of the Ohio Biological Survey,Biology,,
Bulletin of the Panhandle Agricultural Experiment Station,Agriculture,,
"Bulletin of the Society of Forestry, Kyoto Imperial University",Forestry,,
Bulletin of the Torrey Botanical Club,Botany/Plant Breeding,,
Bulletin économique de l’Indochine,Economics,,
"Bulletin économique de l’Indochine, Sect. B",Economics,,
California Citrograph,Food Science,,
Canadian Geographical Journal,Geography,,
Canadian Journal of Research,General Science,,
Canadian Journal of Research (Section C),General Science,,
The Canadian Mining and Metallurgical Bulletin,ND,,
Centralblatt für das gesamte Forstwesen,Forestry,,
"Ceylon Journal of Science (Section E, Meteorology)",Meteorology,,
Chemie der Erde,Chemistry,,
Chibinsk. apatit.,ND,,
Chimiz. soc. Zemled,ND,,
Chinese Economic Journal,Economics,,
Chronica Botanica,Botany/Plant Breeding,,
Civil Engineering,Engineering,,
Cold Spring Harbor Symposia on Quantitative Biology,Biology,,
Coltivatore,Agriculture,,
Compte Rendu de la Association Française pour l'Avancement des Sciences,General Science,,
Compte rendu des séances de la Société de physique et d'histoire naturelle de Genève,Natural History,Physics,
Comptes rendus de la 1c Commission de l'Association Internationale de la Science du Sol,Soil Science,,
Comptes rendus de la Société biogéographique,Geography,,
Comptes rendus des séances de l'Académie d'agriculture de France,Agriculture,,
Comptes rendus des séances de la Société de Biologie et de ses filiales associées,Biology,,
Comptes rendus du congrès des sociétés savantes de Paris et des départements (Section des Sciences),General Science,,
Comptes rendus hebdomadaires des séances de l'Académie d'Agriculture de France,Agriculture,,
Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris),General Science,,
Contr. Agric. Met.,Agriculture,,
Contributions from Boyce Thompson Institute,Botany/Plant Breeding,,
Courrier de l'I.M.C.,ND,,
Current Science,General Science,,
Czas. geogr.,ND,,
Das Gas- und Wasserfach (Munich),Hydrology,,
Das Superphosphat,Chemistry,,
Das Wetter,Meteorology,,
Dekadn. Gidro-Met. Bul.,ND,,
Dekadn. Gudro-Met. Bull. C.B.P.,ND,,
Dekadn. bjul pogody C.B.P.,ND,,
Deli-Proefstation te Medan (Sumatra) – Bulletin,Commodities,,
Der Balneologe,Medicine/Physiology,,
Der Kartoffelbau,Food Science,,
Der Kulturtechniker,Hydrology,,
Der Züchter,Botany/Plant Breeding,,
Detskosl'skaia akhlimatizatsionnaia Sta. [Labours of the Acclimation Station],ND,,
Deutsche Forschung,General Science,,
Deutsche Landwirtschaftliche Presse,Agriculture,,
Deutsche landwirtschaftliche Rundschau,Agriculture,,
Deutsche medizinische Wochenschrift,Medicine/Physiology,,
Deutsches Meteorologisches Jahrbuch,Meteorology,,
Die Ernährung der Pflanze,Botany/Plant Breeding,,
Die Gartenbauwissenschaft,Gardening,,
Die Kartoffel,Food Science,,
Die Landwirtschaft,Agriculture,,
Die Naturwissenschaften,Natural History,,
Die Technik in der Landwirtschaft,Engineering,,
"Die Umschau, Halbmonatsschrift über die Fortschritte in Wissenschaft und Technik",General Science,,
Die landwirtschaftlichen Versuchs-Stationen,Agriculture,,
Doklady Akad. Nauk S.S.S.R.,ND,,
Ecological Monographs,Ecology,,
Ecology,Ecology,,
Economic Geography,Geography,,
Elektrif. Sel. Choz.,ND,,
Empire Forestry Journal,Forestry,,
Empire Journal of Experimental Agriculture,Agriculture,,
Engineering News,Engineering,,
"Eos, Transactions, American Geophysical Union",Physics/Geophysics,,
Erde und Wirtschaft,Geography,Economics,
Experiment Station Record,ND,,
Experiment. botanika,Botany/Plant Breeding,,
"Extrait du Bulletin de la Société languedocienne de Géographie, S.D.",Geography,,
Extraits de l'Agriculture pratique des pays chauds,Agriculture,,
Ezem. Gorkovsk. U.E.G.M.S.,ND,,
Ezem. Nizegorodsk. Gimekom'a,ND,,
Ezem. Nizn. Gorod. Gimekom'a,ND,,
Ezem. Nizn. Novgor. krajev. Gimekom'a,ND,,
Ezem. U.E.G.M.S.,ND,,
Farm Research,Agriculture,,
Farming in South Africa,Agriculture,,
Fennia,Geography,,
Fermentforschung,Medicine/Physiology,,
Flora oder Allgemeine Botanische Zeitung,Botany/Plant Breeding,,
Florida State Horticultural Society Proceedings,Horticulture,,
Florists' Exchange and Horticultural Trade World,Horticulture,,
Food Research,Food Science,,
Food Technology,Food Science,,
Forschungen und Fortschritte,General Science,,
Forschungsdienst,General Science,,
Forstwissenschaftliches Centralblatt,Forestry,,
Fortschritte der Landwirtschaft,Agriculture,,
Front nauk. i technik,ND,,
Fruittelt,Horticulture,,
Frühlings landwirtschaftliche Zeitung,Agriculture,,
Gartenschönheit,Gardening,,
Gas Age,Engineering,,
Gaz. Obserwatora Państwowego Inst. Hydrol.-Meteorol.,Meteorology,Hydrology,
Geofisica pura e applicata,Physics/Geophysics,,
Geografiska Annaler,Geography,,
Geographical Review,Geography,,
Geographischer Jahresbericht aus Oesterreich,Geography,,
Geologische Rundschau,Physics/Geophysics,,
Geophysical Magazine (Tokyo),Physics/Geophysics,,
Georgine,ND,,
Gerlands Beiträge zur Geophysik,Physics/Geophysics,,
Giornale di biologia applicata alla industria chimica ed alimentare,Biology,,
Gold Coast Department of Agriculture Bulletin,Agriculture,,
Gosudarst Univ. nauch. Biull.,ND,,
Grazd. aviacja,ND,,
Hawaiian Planters' Record,Agriculture,,
Heating and Ventilating,Engineering,,
"Heating, Piping, and Air Conditioning",Engineering,,
Hilgardia,Agriculture,,
Historia Naturalis,Natural History,,
I.V.A. (The Royal Swedish Academy of Engineering Sciences),Engineering,,
ISIS (Dresden),Natural History,,
Illinois Horticulture,Horticulture,,
Illustrierte landwirtschaftliche Zeitung,Agriculture,,
"India Meteorology Department, Scientific Notes",Meteorology,,
Indian Farming,Agriculture,,
Indian Journal of Agricultural Science,Agriculture,,
Indian Journal of Meteorology and Geophysics,Meteorology,Geophysics,
Indian Meteorological Memoirs,Meteorology,,
Industrial and Engineering Chemistry,Chemistry,Engineering,
International Sugar Journal,Food Science,,
International review of the science and practice of agriculture,Agriculture,,
Ital. Agr. An.,Agriculture,,
Italia agricola,Agriculture,,
Izn. G.G.O.,ND,,
Izv. Biolog. Inst.,ND,,
Izv. Daljn. Vost. Geofizin'a,ND,,
Izv. E.G.M.S.,ND,,
Izv. G.G.I.,ND,,
Izv. G.G.O.,ND,,
Izv. Kazansk. Sel. Choz. Inst. [Bulletin of the Kazan Institute of agricultural economy],Agriculture,,
Izv. Lessotechn. Inst. Kazan,ND,,
Izvest. Glavnaia Geofiz. Observatoriia (Leningrad),ND,,
Izvest. Glavnogo Botan. Sada S.S.S.R.,ND,,
Izvest. Gosudarst. Inst. Opyt. Agron. (Leningrad),ND,,
Izvest. Gosudarstvennyi Inst. Sel'skogo Khoz. Melioratsii,ND,,
Izvestiya Akademii Nauk S.S.S.R. [Bulletin of the Academy of Sciences of the USSR],General Science,,
Izvestiya Botanicheskogo Sada Akademii Nauk SSSR,Botany/Plant Breeding,,
Izvestiya Vsesoyuznyî Geograf. Obshchestvo S. S. S. R.,Geography,,
J. Agric. post.,Agriculture,,
J. Exp. Agron. S.E. Russia,Agriculture,,
J. For.,Forestry,,
J. Govern. Bot. Garden. Nikita,Botany/Plant Breeding,,
J. Sci. Agr. Soc. (Nogaku Kwaiho),Agriculture,,Japanese
Jahrbücher für wissenschaftliche Botanik,Botany/Plant Breeding,,
Japanese Journal of Botany,Botany/Plant Breeding,,
Journal d'Agriculture Belgique,Agriculture,,
Journal d'Agriculture pratique,Agriculture,,
Journal d'agriculture traditionnelle et de botanique appliquée,Agriculture,Botany/Plant Breeding,
Journal forestier suisse,Forestry,,
Journal für Landwirtschaft,Agriculture,,
Journal für landwirtschaftliche Wissenschaft,Agriculture,,
Journal of Agricultural Meteorology,Agriculture,Meteorology,
Journal of Agricultural Research,Agriculture,,
Journal of Agricultural Science,Agriculture,,
Journal of Animal Ecology,Ecology,,
Journal of Biological Chemistry,Chemistry,Biology,
Journal of Dairy Research,Food Science,,
Journal of Dairy Science,Food Science,,
Journal of Ecology,Ecology,,
Journal of Economic Entomology,Entomology,Economy,
Journal of Experimental Biology,Biology,,
Journal of Farm Economics,Agriculture,Economy,
Journal of Forestry,Forestry,,
Journal of General Physiology,Medicine/Physiology,,
Journal of Geography,Geography,,
Journal of Geography (Tokyo),Geography,,
Journal of Heredity,Biology,,
Journal of Indian Botanical Society,Botany/Plant Breeding,,
Journal of Meteorological Research (Tokyo),Meteorology,,
Journal of Meteorology,Meteorology,,
Journal of Physical Chemistry,Chemistry,Physics,
Journal of Pomology and Horticultural Science,Horticulture,,
Journal of Science of the Iowa State College,General Science,,
Journal of the American Chemical Society,Chemistry,,
Journal of the American Society of Agronomy,Agriculture,,
Journal of the American Water Works Association,Hydrology,,
Journal of the Arnold Arboretum,Horticulture,,
Journal of the Australian Institute of Agricultural Science,Agriculture,,
Journal of the Board of Greenkeeping Research,Agriculture,,
Journal of the British Grassland Society,Agriculture,,
Journal of the Chinese Geophysical Society,Physics/Geophysics,,
"Journal of the College of Agriculture, Imperial University of Tokyo",Agriculture,,
"Journal of the College of Science, Imperial University of Tokyo",General Science,,
Journal of the Colorado-Wyoming Academy of Science,General Science,,
Journal of the Council of Scientific and Industrial Research,General Science,,
Journal of the Department of Agriculture (Dublin),Agriculture,,
"Journal of the Department of Agriculture, Kyushu Imperial University",Agriculture,,
Journal of the Department of Agriculture (South Australia),Agriculture,,
Journal of the Department of Agriculture (West Australia),Agriculture,,
Journal of the Elisha Mitchell Scientific Society,General Science,,
Journal of the Imperial Agricultural Experiment Station Tokio,Agriculture,,
Journal of the Indian Botanical Society,Botany/Plant Breeding,,
Journal of the Indian Chemical Society,Chemistry,,
Journal of the Indian Society of Agricultural Statistics,Agriculture,,
Journal of the Maryland Academy of Science,General Science,,
Journal of the Meteorological Society of Japan (Kishō Shūchi),Meteorology,,
Journal of the Ministry of Agriculture,Agriculture,,
Journal of the New York Botanical Garden,Botany/Plant Breeding,,
Journal of the New York Entomological Society,Entomology,,
Journal of the Optical Society of America,Physics/Geophysics,,
Journal of the Royal Agricultural Society of England,Agriculture,,
Journal of the Royal Horticultural Society,Horticulture,,
Journal of the Royal Society of Western Australia,General Science,,
Journal of the Scottish Meteorological Society,Meteorology,,
Journal of the Society of Tropical Agriculture,Agriculture,,
Journal of the South-Eastern Agricultural College (Wye),Agriculture,,
Journal of the Tennessee Academy of Science,General Science,,
Journal of the Washington Academy of Sciences,General Science,,
Journeés d'Agronomie Coloniale,Agriculture,,
K possevnoi,ND,,
K. Landtbrahad. Handl. Stockholm,Agriculture,,
K. Sachs. meteorol. Inst. Jahrb.,Meteorology,,
Kartoffelbau,Food Science,,
Klimat i Pogoda [Climate and Weather],Meteorology,,
Kolhoznik Sad i Ogorod [Kolkhoz Garden],Botany/Plant Breeding,,
Kosmos,Natural History,,
Kühn-Archiv,Agriculture,,
L'Astronomie,Physics/Geophysics,,
L'Italia agricola,Agriculture,,
L'agriculture pratique des pays chauds,Agriculture,,
La Génie rural,Agriculture,,
La Météorologie,Meteorology,,
La Météorologie (Paris),Meteorology,,
La Nature,General Science,,
La Revue du Ciel,Physics/Geophysics,,
La Vie agricole et rurale,Agriculture,,
Landbouwkundig Tijdschrift [Agricultural Journal],Agriculture,,
Landeskultur,Agriculture,,
Landwirtschaftliche Jahrbücher,Agriculture,,
Landwirtschaftliche Jahrbücher für das Deutsche Reich,Agriculture,,
Landwirtschaftliche Wochenschrift der Landesbauernschaft für die Provinz Sachsen und Anhalt,Agriculture,,
Landwirtschaftliche Wochenschrift der Landwirtschaftskammer für die Provinz Sachsen und den Freistaat Anhalt,Agriculture,,
Landwirtschaftliche Wochenschrift für die Provinz Sachsen,Agriculture,,
Landwirtschaftlicher Kalender der Hallischen Nachrichten,Agriculture,,
Landwirtschaftliches Jahrbuch der Schweiz,Agriculture,,
Lavori di botanica,Botany/Plant Breeding,,
Le Bulletin agricole,Agriculture,,
Le Génie rural,Agriculture,Economics,
Le Progrès agricole et viticole,Agriculture,Food Science,
Leningrad. Gosudarst. Univ. Uchenye Zapiski. Ser. Fizicheskikh Nauk,ND,,
Les Cahiers de la Recherche agronomique du Maroc,Agriculture,,
Lesn. Choz. i Lesoeksploitac,ND,,
"Lingnan Science Journal (Canton, China)",General Science,,
Louisiana Agricultural College Extension Circular,Agriculture,,
Louisiana Planter,Agriculture,,
Lunds Universitets Årsskrift,General Science,,
Madras Agricultural Journal,Agriculture,,
Mariisk. Avtonomn. Oblast.,ND,,
Maslicn. kultury,ND,,
Mat. etude calam Geneve.,ND,,
Mat. k. izuc. estestv.-proizv. sil. Zapadn. Obl.,ND,,
"Materialy do Fizjografii Kraju, Polska Akad. Umiejetności",ND,,
Medd. Norske Skogsforsoksv.,ND,,
Meddelanden från Statens Meteorologisk-Hydrografiska Anstalt,Meteorology,Hydrology,
Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],Forestry,,
"Mededeelingen, Directeur van de Tuinbouw",,,
Medizin-Meteorologische Hefte,Medicine/Physiology,,
Meldinger Norges Landbrukshøgskole [Reports of the Norwegian Agricultural University],Agriculture,,
Memoirs and proceedings of the Manchester Literary & Philosophical Society,General Science,,
Memoirs of the Brooklyn Botanical Garden,Botany/Plant Breeding,,
Memoirs of the Department of Agriculture in India,Agriculture,,
"Memoirs of the Faculty of Agriculture, National Taiwan University",Agriculture,,
Memoirs of the Imperial Marine Observatory (Kobe),Hydrology,,
Memoirs of the Royal Meteorological Society,Meteorology,,
Met. Gen. Bot.,ND,,
Met. Vestnik,ND,,
Meteorologiia i Gidrologiia [Meteorology and Hydrology],Meteorology,Hydrology,
Meteorologické zpràvy [Meteorological Bulletin],Meteorology,,
Meteorologia pratica,Meteorology,,
Meteorological Journal,Meteorology,,
Meteorological Magazine,Meteorology,,
Meteorological Magazine (Nanking),Meteorology,,
Meteorologische Rundschau,Meteorology,,
Meteorologische Zeitschrift,Meteorology,,
Medicine,Agriculture,,
Miscellaneous Publications of the Smithsonian Institute,General Science,,
Miscellaneous Publications of the U.S. Department of Agriculture,Agriculture,,
Mitt. Landw.,Agriculture,,
Mitteilungen aus Forstwirtschaft und Forstwissenschaft,Forestry,,
Mitteilungen aus der Biologischen Reichsanstalt für Land- und Forstwirtschaft,Biology,,
Mitteilungen der Deutschen Landwirtschaftsgesellschaft,Agriculture,,
Mitteilungen der Schweizerischen Anstalt für das forstliche Versuchswesen,Forestry,,
Mitteilungen der landwirtschaftlichen Institute der Königlichen Universität Breslau,Agriculture,,
Mittheilungen aus dem Naturwissenschaftlichen Verein für Neu-Vorpommern und Rügen in Greifswald,Natural History,,
Molod. Bolsevik,ND,,
Monit. Tecn.,ND,,
Monthly Bulletin of Agricultural Science and Practice,Agriculture,,
Monthly Weather Review,Meteorology,,
Monthly Weather Review (Supplement),Meteorology,,
Monthly bulletin of agricultural intelligence and of plant diseases,Agriculture,,
Mor. Amer. Soc. Hort. Sci.,Horticulture,,
Mémoires de l'Institut Royal Colonial Belge,General Science,,
Mémoires de la Société des sciences naturelles du Maroc,Natural History,,
Mühlenlaboratorium,Food Science,,
Na lessokult. fronte,ND,,
Na lessokulturn. fronte,ND,,
Na stroike Zern. M.T.S.,ND,,
Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Mathematisch-Physikalische Klasse,Physics/Geophysics,,
Nachrichtenblatt des deutschen Pflanzenschutzdienstes,Agriculture,,
Narkomzem F.O.N.,ND,,
Narodn. ucitel,ND,,
Nasi Dostizen,ND,,
Nature,General Science,,
Nature Magazine,General Science,,
Naturen (Bergen),General Science,,
Naturforschende Gesellschaft (Basel),General Science,,
Nauchno-agronomicheskii Zhurnal [Journal für landwirtschaftliche Wissenschaft],Agriculture,,
Nebraska University Studies,General Science,,
Neuheiten auf dem Gebiete des Pflanzenschutzes,Agriculture,,
New Jersey Agricultural Experiment Station Bulletin,Agriculture,,
New Phytologist,Botany/Plant Breeding,,
New Zealand Journal of Agriculture,Agriculture,,
New Zealand Journal of Science and Technology,General Science,,
New Zealand Journal of Science and Technology A,General Science,,
Nordisk jordbrugsforskning [Nordic agricultural research],Agriculture,,
Norsk Landmannsblad,ND,,
Northwest Science,General Science,,
Northwestern Miller and American Baker,Food Science,,
Notas preliminares del Museo de La Plata,Natural History,,
"Nova Acta Leopoldina, Abhandlungen der Kaiserlich Leopoldinisch-Carolinisch Deutschen Akademie der Naturforscher",General Science,,
Nuova agricoltura,Agriculture,,
Nuovi annali del Ministero per l'Agricoltura,Agriculture,,
Nuovi annali dell'agricoltura,Agriculture,,
Nuovo giornale botanico italiano,Botany/Plant Breeding,,
O.M.I. Pub.,Meteorology,,
Ohio Agricultural Station Bimonthly Bulletin,Agriculture,,
Ohio Journal of Science,General Science,,
L'Olivicoltore,Food Science,,
Opyt i issledov. Vsesojuzn. Lesokult. i. Agrolesmoeliorat. Inst.,ND,,
Ovcevdstvo,ND,,
Pakistan Geographical Review,Geography,,
"Papers of the Michigan Academy of Science, Arts and Letters",General Science,,
Parasitology,Zoology,,
Państwowy Inst. Hydrologiczno-Meteorologiczny (Warsaw). Wiadomości Służby Hydrologicznej i Meteorologicznej. Bull. Serv. Hydrol. et Méteorol.,Meteorology,Hydrology,
Peelovodstvo,ND,,
Perv. Sborn. rabot Vostocn. Sibirsk. oporn. punkta,ND,,
Petermanns Geographische Mitteilungen,Geography,,
Pflanzenbau,Agriculture,,
"Pflanzenbau, Pflanzenschutz, Pflanzenzucht",Agriculture,,
Philippine Agricultural Review,Agriculture,,
Phillippine Agriculturist,Agriculture,,
Phillippine Journal of Agriculture,Agriculture,,
Phillippine Journal of Science,General Science,,
Physical Review,Physics/Geophysics,,
Physiological Researches,Medicine/Physiology,,
Phytopathologische Zeitschrift,Botany/Plant Breeding,,
Phytopathology,Botany/Plant Breeding,,
Pionier,ND,,
Plant Physiology,Botany/Plant Breeding,,
Planta,Botany/Plant Breeding,,
Plodovoscn. Choz.,ND,,
Pochvovedenie,Soil Science,,
Pogoda i Zittja [Weather and Life],Meteorology,,
Potato Magazine,Food Science,,
Poultry Science,Food Science,,
Prace Państwowy Inst. Hydrol. i Meteorol.,Meteorology,Hydrology,Polish
Prakt. Akad. Athenōn,ND,,
Praktische Blätter für Pflanzenbau,Agriculture,,
Priloz. k dekadn. bull. Uralsk. G.M.K.,ND,,
Priroda [Nature],ND,,
Problemy,ND,,
Problemy Fiz. Geograf.,ND,Russian,
Proceedings of the Indian Academy of Sciences,General Science,,
Proceedings of the Indian Academy of Sciences A,General Science,,
Proceedings of the Indian Academy of Sciences B,General Science,,
Proceedings of the Academy of Natural Sciences of Philadelphia,Natural History,,
Proceedings of the American Society for Horticultural Science,Horticulture,,
Proceedings of the Annual Meeting of the Highway Research Board,Engineering,,
Proceedings of the Annual Meeting of the Western Canadian Society of Agronomy,Agriculture,,
Proceedings of the Boyce Thompson Institute,Botany/Plant Breeding,,
Proceedings of the Crop Science Society of Japan,Agriculture,,
Proceedings of the Florida State Horticultural Society,Horticulture,,
Proceedings of the Imperial Academy (Tokyo),General Science,,
Proceedings of the Indiana Academy of Sciences ,General Science,,
Proceedings of the Iowa Academy of Science,General Science,,
Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen,General Science,,
Proceedings of the Leeds Philosophical and Literary Society (Scientific Section),General Science,,
Proceedings of the Maryland Academy of Science,General Science,,
Proceedings of the National Academy of Sciences,General Science,,
Proceedings of the Ohio Academy of Science,General Science,,
Proceedings of the Ohio State Horticultural Society,Horticulture,,
Proceedings of the Physico-Mathematical Society of Japan (Nippon Sūgaku-Buturigakkwai kizi),Physics/Geophysics,,
Proceedings of the Potato Association of America,Food Science,,
Proceedings of the Royal Society,General Science,,
Proceedings of the Royal Society B,General Science,,
Proceedings of the Royal Society of Edinburgh,General Science,,
Proceedings of the Section of Sciences of the Koninklijke Akademie van Wetenschappen,General Science,,
Proceedings of the Society for Experimental Biology and Medicine,Biology,Medicine,
Proceedings of the Soil Science Society of America,Soil Science,,
Progr. Agr. Pecuario,ND,,
Progrès agricole et viticole,Agriculture,Food Science,
Protoplasma,Biology,,
Prz. meteorol. i hydrol.,Meteorology,Hydrology,
Przeglad Rolniczy [Agricultural Review],Agriculture,,
Przegląd Geograficzny [Geographical Review],Geography,,
Publications de l'Institut Belge pour l'Amélioration de la Betterave,Food Science,,
"Quarterly Bulletin - Michigan State University, Agricultural Experiment Station",Agriculture,,
Quarterly Journal of Economics,Economics,,
Quarterly Journal of the Royal Meteorological Society,Meteorology,,
Quarterly Review of Biology,Biology,,
Queensland Agricultural Journal,Agriculture,,
Queensland Naturalist,Natural History,,
Rabot. Inst. Kartof. Choz.,ND,,
