,Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Series,Publisher,Place,Language,Type,Archive,Library Catalog,Extra,Manual Tags,Number
10,XYAMFS38,journalArticle,1922,"Azzi, G.",The Problem of Agricultural Ecology,Geografiska Annaler,,10.1080/20014422.1922.11881056,,,1922,137-146,,2,4,,,,,,,,,"Azzi, G.; Geografiska Annaler (J); Italian Central Office of Meteorology and Geodynamics/University of Perugia; Italy",
11,PWMZMQHP,journalArticle,1930,"Chaptal, L.",La lutte contre la sécheresse par la captation de la vapeur d'eau atmosphérique,Journal d'agriculture traditionnelle et de botanique appliquée,,10.3406/jatba.1930.4878,https://www.persee.fr/doc/jatba_0370-3681_1930_num_10_107_4878,,1930,566-568,,107,10,,,,French,,,www.persee.fr,,"Central Experimental Station for Agricultural Physics and Climatology; Chaptal, L.; France; Journal d'agriculture traditionnelle et de botanique appliquée (J)",
12,LNV68NVE,journalArticle,1950,"Sanson, J.; Pardé, M.",La sécheresse des années 1942-49 en France,Revue de Géographie Alpine,,10.3406/rga.1950.4042,https://www.persee.fr/doc/rga_0035-1121_1950_num_38_2_4042,,1950,369-404,,2,38,,,,French,,,www.persee.fr,,"France; French Meteorological Service; Pardè, M.; Revue de Géographie Alpine (J); Sanson, J.",
13,VVHCLHAQ,journalArticle,1934,"Schmidt, W.",Observations on Local Climatology in Austrian Mountains,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49706025608,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49706025608,,1934,345-352,,256,60,,,,English,,,Wiley Online Library,,"Academy for Natural Resources; Austria; Quarterly Journal of the Royal Meteorological Society (J); Schmidt, W. M.",
14,UW4R6JV7,journalArticle,1944,"Sarle, C. F.",Training Program in Meteorology for Latin-American Students,"Eos, Transactions, American Geophysical Union",2324-9250,10.1029/TR025i003p00395,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/TR025i003p00395,,1944,395-397,,3,25,,,,English,,,Wiley Online Library,,"Eos, Transactions, American Geophysical Union (J); Institution; Sarle, C. F.; USA",
15,7WSCK6FK,journalArticle,1939,"Keen, B. A.",What Happens to the Rain?,Quarterly Journal of the Royal Meteorological Society,,10.1002/qj.49706528002,,,1939,123-138,,280,65,,,,English,,,,,"Great Britain; Keen, B. A.; Quarterly Journal of the Royal Meteorological Society (J); Rothamsted Experimental Station",
16,SVU2KZQW,journalArticle,1943,"Keen, B. A.",Physical Research on Problems of Soil Cultivation,The East African Agricultural Journal,0367-0074,10.1080/03670074.1943.11664343,https://doi.org/10.1080/03670074.1943.11664343,,1943,107-111,,2,9,,,,English,,,Taylor and Francis+NEJM,,"Great Britain; Keen, B. A.; Rothamsted Experimental Station; The East African Agricultural Journal (J)",
17,UPWKXNTW,journalArticle,1922,"Fisher, R. A.; Mackenzie, W. A.",The Correlation of Weekly Rainfall,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49704820305,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49704820305,,1922,234-245,,203,48,,,,English,,,Wiley Online Library,,"Fisher, R. A.; Great Britain; Mackenzie, W. A.; Quarterly Journal of the Royal Meteorological Society (J); Rothamsted Experimental Station",
18,4758936I,journalArticle,1934,"Koshal, R. S.; Fisher, Ronald Aylmer",The Effects of Rainfall and Temperature on Percolation Through Drain Gauges,The Journal of Agricultural Science,"1469-5146, 0021-8596",10.1017/S0021859600012478,https://www.cambridge.org/core/journals/journal-of-agricultural-science/article/the-effects-of-rainfall-and-temperature-on-percolation-through-drain-gauges/52549A2190407783683BFE41811138A9,,1934,105-135,,1,24,,,,English,,,Cambridge Core,,"Great Britain; Rothamsted Experimental Station; The Journal of Agricultural Science (J); Fisher, R. A.; Koshal, R. S.",
19,9M3VAZHJ,journalArticle,1927,"De Sampaio Ferraz, J.","Meteorological Summary for Brazil, August, 1927",Monthly Weather Review,0027-0644,10.1175/1520-0493(1927)55<414d:MSFBA>2.0.CO;2,,,1927,414-414,,9,55,,,,English,,,,,"Monthly Weather Review (J); Brasilian Meteorological Institute; Brazil; Ferraz, J. d. S.",
20,ZFZKC4KT,book,1942,"Geiger, R.",Das Klima der bodennahen Luftschicht: ein Lehrbuch der Mikroklimatologie,,,,//www.springer.com/de/book/9783663060116,Das Klima der bodennahen Luftschicht,1942,,,,,Die Wissenschaft,Vieweg+Teubner Verlag,,German,,,www.springer.com,,"Bavarian Meteorological Service; Book; Geiger, R.; Germany",
21,K6TTKD7R,journalArticle,1920,"Wallén, A.",L'influence de la température et de l'eau tombée sur les récoltes de quelques variétés de froment a Svalöf et a Ultuna,Geografiska Annaler,1651-3215,10.2307/519540,http://www.jstor.org/stable/519540,,1920,332-357,,,2,,,,French,,,,,"Geografiska Annaler (J); Sweden; Swedish Meteorological Institute; Wallén, A.",
22,IFMQB2JI,journalArticle,1935,"Walter, A.",The Climate and Weather of East and Central Africa,The East African Agricultural Journal,0367-0074,10.1080/03670074.1935.11663623,https://doi.org/10.1080/03670074.1935.11663623,,1935,87-89,,1,1,,,,English,,,,,"East African Governors Conference; Kenya; The East African Agricultural Journal; Walter, A.",
23,9ZEHIVS3,journalArticle,1936,"Walter, A.",The Climate and Weather of East Africa,The East African Agricultural Journal,0367-0074,10.1080/03670074.1936.11663715,https://doi.org/10.1080/03670074.1936.11663715,,1936,512-514,,6,1,,,,English,,,,,"East African Governors Conference; Kenya; The East African Agricultural Journal (J); Walter, A.",
24,CDN3ZEA2,journalArticle,1920,"Taylor, T. G.",Agricultural Climatology of Australia,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49704619602,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49704619602,,1920,331-356,,196,46,,,,English,,,,,"Australia; Commonwealth Meteorological Service; Quarterly Journal of the Royal Meteorological Society (J); Taylor, T. G.",
25,94J3S484,journalArticle,1932,"Taylor, T. G.",The Inner Arid Limits of Economic Settlement in Australia,Scottish Geographical Magazine,0036-9225,10.1080/00369223208734820,https://doi.org/10.1080/00369223208734820,,1932,65-78,,2,48,,,,English,,,Taylor and Francis+NEJM,,"Australia; Commonwealth Meteorological Service; Scottish Geographical Magazine (J); Taylor, T. G.",
26,AI8ZLEFV,journalArticle,1921,"Smith, J. W.",Agricultural Meteorology,Journal of Geography,0022-1341,10.1080/00221342108984500,https://doi.org/10.1080/00221342108984500,,1921,161-175,,5,20,,,,English,,,Taylor and Francis+NEJM,,"Journal of Geography (J); Smith, J. W.; US Weather Bureau; USA",
27,RM4KRE25,journalArticle,1934,"Shaw, W. N.",The Natural History of Weather,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49706025707,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49706025707,,1934,479-492,,257,60,,,,English,,,Wiley Online Library,,"Great Britain; Meteorological Office/Ministry of Agriculture; Quarterly Journal of the Royal Meteorological Society (J); Shaw, W. N.",
28,HNB8CLB6,journalArticle,1942,"Ramdas, L. A.; Mallik, A. K.","Studies on Soils, Part I: The Upward Movement of Water and Salt Solutions in the Black Cotton Soil",Proceedings of The Indian Academy of Sciences - Section A,,10.1007/BF03177729,,,1942-01-01,1-9,,,16,,,,English,,,ResearchGate,,"India; Indian Meteorological Department; Mallik, A. K.; Proceedings of The Indian Academy of Sciences - Section A (J); Ramdas, L. A.",
29,AJ6MUU9W,journalArticle,1950,"Ramdas, L. A.",Some New Instrument and Experimental Techniques Developed in the Agricultural Meteorology Section at Poona,Journal of Agricultural Meteorology,"0021-8588, 1881-0136",10.2480/agrmet.6.50,https://www.jstage.jst.go.jp/article/agrmet1943/6/1/6_1_50/_article/-char/en,,1950,50-56,,1,6,,,,Japanese,,,www.jstage.jst.go.jp,,"India; Indian Meteorological Department; Journal of Agricultural Meteorology (J); Ramdas, L.A.",
30,26UCT735,journalArticle,1907,"Okada, T.",Note on the Diurnal Heat Exchange in a Layer of Snow on the Ground,Monthly Weather Review,0027-0644,10.1175/1520-0493(1907)35<450b:NOTDHE>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281907%2935%3C450b%3ANOTDHE%3E2.0.CO%3B2,,1907,450-452,,10,35,,,,English,,,journals.ametsoc.org (Atypon),,"Japan; Japan Central Meteorological Observatory; Monthly Weather Review (J); Okada, T.",
31,8SMFLQ9Z,journalArticle,1923,"Knoch, K.",Die Möglichkeit der Abschätzung des Ernteertrages auf Grund meteorologischer Angaben,Naturwissenschaften,"0028-1042, 1432-1904",10.1007/BF01551324,https://link.springer.com/article/10.1007/BF01551324,,1923,769-776,,37,11,,,,German,,,link.springer.com,,"Germany; Knoch, K.; Naturwissenschaften (J); State Meteorological Service; The Science of Nature (J)",
32,VG6UAKYK,journalArticle,1921,"Hooker, R. H.",Forecasting the Crops from the Weather,Monthly Weather Review,,10.1175/1520-0493(1921)49<511:FTCFTW>2.0.CO;2,,,1921,511-512,,9,49,,,,English,,,,,"Great Britain; Hooker, R. H.; Ministry of Agriculture; Monthly Weather Review (J)",
33,EVIH66HB,journalArticle,1915,"Kincer, J. B.",A Correlation of Weather Conditions and Production of Cotton in Texas,Monthly Weather Review,0027-0644,10.1175/1520-0493(1915)43<61:ACOWCA>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281915%2943%3C61%3AACOWCA%3E2.0.CO%3B2,,1915,61-65,,2,43,,,,English,,+ WB 00823,journals.ametsoc.org (Atypon),,"Kincer, J. B.; Monthly Weather Review (J); US Weather Bureau; USA",
34,B8GM7Y7X,journalArticle,1919,"Kincer, Joseph Burton",Relation between Vegetative and Frostless Periods,Monthly Weather Review,0027-0644,10.1175/1520-0493(1919)47<106c:RBVAFP>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281919%2947%3C106c%3ARBVAFP%3E2.0.CO%3B2,,1919,106-110,,2,47,,,,English,,,journals.ametsoc.org (Atypon),,"USA; Monthly Weather Review (J); US Weather Bureau; Kincer, J. B.",
35,88Z3WKI8,journalArticle,1930,"Kincer, Joseph Burton",Weather and Cotton Production,Monthly Weather Review,0027-0644,10.1175/1520-0493(1930)58<190:WACP>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281930%2958%3C190%3AWACP%3E2.0.CO%3B2,,1930,190-196,,5,58,,,,English,,+ WB 00824,journals.ametsoc.org (Atypon),,"USA; Monthly Weather Review (J); US Weather Bureau; Kincer, J. B.",
36,5PWQ62B9,journalArticle,1935,"Kincer, Joseph Burton",Our Veteran Cooperative Observers,Monthly Weather Review,0027-0644,10.1175/1520-0493(1935)63<313:OVCO>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281935%2963%3C313%3AOVCO%3E2.0.CO%3B2,,1935,313-315,,11,63,,,,English,,,journals.ametsoc.org (Atypon),,"USA; Monthly Weather Review (J); US Weather Bureau; Kincer, J. B.",
37,JILJ332V,journalArticle,1935,"Kincer, Joseph Burton",The Danzig Meetings of the International Climatological Commission and the Commission on Agricultural Meteorology,Monthly Weather Review,0027-0644,10.1175/1520-0493(1935)63<342:TDMOTI>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281935%2963%3C342%3ATDMOTI%3E2.0.CO%3B2,,1935,342-344,,12,63,,,,English,,,journals.ametsoc.org (Atypon),,"USA; Monthly Weather Review (J); US Weather Bureau; Kincer, J. B.",
38,H2HWQY4H,journalArticle,1932,"Keen, B. A.",Soil Physics in Relation to Meteorology,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49705824504,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49705824504,,1932,229-250,,245,58,,,,English,,,Wiley Online Library,,"Great Britain; Keen, B. A.; Quarterly Journal of the Royal Meteorological Society (J); Rothamsted Experimental Station",
39,J5DIZ3BM,journalArticle,1921,"Keen, B. A.",Agricultural Meteorology: The Effect of Weather on Crops,Nature,,10.1038/108300a0,https://www.nature.com/articles/108300a0,,1921,,,2714,108,,,,English,,,,DOI: 10.1038/108300a0,"Great Britain; Keen, B. A.; Nature (J); Rothamsted Experimental Station",
40,NKKSHH6C,journalArticle,1949,"Thornthwaite, C. W.; Biel, E. R.; Church, P. E.; Jacobs, W. C.; Landsberg, H.; Leighly, J. B.; Hafstad, K.","Report of the Committee on Climatology, 1947–1948","Eos, Transactions, American Geophysical Union",,,,"President Byers reconstituted the Committee on Climatology in the autumn of 1947 with the ahore membership. No formal meetings could be held because the members were so widely scattered, but suggestions were obtained by correspondence on the proper function of the Committee. Certain concrete research projects were proposed, as well as suggestions of a more general nature. It was agreed that the Committee should undertake to summarize, insofar as its limited facilities permitted, the progress of climatology in the United States during the year. This first report is admittedly incomplete. Comments of the members of the Committee follow.",1949,439-443,,3,30,,,,English,,,Wiley Online Library,,"Biel, E. R.; Church, P. E.; Hafstad, K.; Jacobs, W. C.; Landsberg, H.; Leighly, J. B.; Thornthwaite, C. W.; US Air Force Department; USA",
41,UTDKDHCF,journalArticle,1908,"Hooker, R. H.",An Elementary Explanation of Correlation: Illustrated by Rainfall and Depth of Water in Well,Quarterly Journal of the Royal Meteorological Society,,,,,1908,277-292,,148,34,,,,English,,,,,"Great Britain; Hooker, R. H.; Ministry of Agriculture; Quarterly Journal of the Royal Meteorological Society (J)",
42,XT78KKM2,journalArticle,1912,"Hooker, R. H.","Météorologie Agricole et Prévision du Temps. by Paul Klein. Paris, 1911-528 pp., with 147 figures in the text. Price 5fr. (unbound) [Book Review]",Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49703816210,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49703816210,,1912,165-166,,162,38,,,,English,,,Wiley Online Library,review-book,"Great Britain; Hooker, R. H.; Ministry of Agriculture; Quarterly Journal of the Royal Meteorological Society (J)",
43,SX3PMQ3Y,journalArticle,1921,"Hooker, R. H.",Forecasting the Crops from the Weather,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49704719801,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49704719801,,1921,75-100,,198,47,,,,English,,,Wiley Online Library,,"Great Britain; Hooker, R. H.; Ministry of Agriculture; Quarterly Journal of the Royal Meteorological Society (J)",
44,P233EBTX,journalArticle,1933,"Durst, C. S.",Notes on the Variations in the Structure of Wind over Different Surfaces,Quarterly Journal of the Royal Meteorological Society,,10.1002/qj.49705925205,https://doi.org/10.1080/20014422.1922.11881056,,1933,361-374,,252,59,,,,English,,,,,"Quarterly Journal of the Royal Meteorological Society (J); Great Britain; Durst, C. S.; Meteorological Office",
45,UEHMV758,book,1920,"Smith, J. W.",Agricultural Meteorology: The Effect of Weather on Crops,,,,,,1920,,304,,,,The MacMillan Co.,New York,English,,+ WB 00373,,OCLC: 569259,"Book; Smith, J. W.; US Weather Bureau; USA",
46,RUZL2RF7,journalArticle,1932,"Hesselman, H.","Om klimatets humiditet i vårt land och dess inverkan på mark, vegetation och skog (Über die Humidität des Klimas Schwedens und ihrer Einwirkung auf Boden, Vegetation und Wald)",Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],,,,"On the humidity of the swedens climate and its impact on soil, greenery and forest",1932,515–560,,26,,,,,Swedish,,,,,"Hesselman, H.; Report/Proceedings; Sweden; Swedish forest research institute",
47,HVGPUEA9,journalArticle,1932,"Haldén, B. E.",Marktorkan å sand- och grusmarker,Svenska skogsvårdsföreningens tidskrift [Journal of the Swedish Forest Management Association],,,,,1932,39-131,,,30,,,,Swedish,,,,,"Haldén, B. E.; Institution; Sweden; Swedish Forest Management Association Journal (J)",
48,ZZXJVDB8,journalArticle,1932,"Enquist, F.",Om klimatets inverkan på skördevariationer [The influence of climatic factors on the variations of yield],Svensk Geografisk Årsbok [Swedish Geografical Yearbook],,,,,1932,122-146,,,,,,,Swedish,,,,,"Enquist, F.; Institution; Sweden; Swedish Geografical Yearbook",
49,WEY2XDZV,journalArticle,1934,"Åkerberg, H.",Väderlek och årsväxt på försöksgården Flahult år 1933,Svenska Mosskulturföreningens Tidskrift,,,,,1934,40,,,,,,,Swedish,,,,,"Institution; Sweden; Åkerberg, H.; Svenska Mosskulturföreningens Tidskrift (J)",
50,6G2WKP86,journalArticle,1933,"Åkerberg, H.",Väderlek och årsväxt på försöksgården Flahult år 1932,Svenska Mosskulturföreningens Tidskrift,,,,,1933,97,,,,,,,Swedish,,,,,"Institution; Sweden; Åkerberg, H.; Svenska Mosskulturföreningens Tidskrift (J)",
51,3FQE4GHU,journalArticle,1932,"Åkerberg, H.",Väderlek och årsväxt på försöksgården Flahult år 1931,Svenska Mosskulturföreningens Tidskrift,,,,,1932,144,,,,,,,Swedish,,,,,"Institution; Sweden; Åkerberg, H.; Svenska Mosskulturföreningens Tidskrift (J)",
52,J8RBCZK5,book,1932,"Wallén, A.",Till kännedomen om klimatet i skogen och andra växtsamhällen (De la connaissance du climat des forêts et d'autres associations végétales),,,,,,1932,,,,3–4,Svenska skogsvårdsföreningens Årsskrift [Yearbook of the Swedish Forest Management Association],,,Swedish,,,,,"Book; Sweden; Swedish Meteorological Institute; Wallén, A.",
53,VAI8H5AU,journalArticle,1935,"Trägårdh, I.; Butovitsch, V.",Redogörelse för barkborrekampanjen efter stormhärjningarna 1931-1932,Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],,,,,1935,1–268,,28,,,,,Swedish,,,,,"Report/Proceedings; Institution; Sweden; Butovitsch, V.; Trägårdh, I.",
54,RZNZ4A27,journalArticle,1934,"Stenberg, M.",Väderlek och årsväxt på försöksgården Gisselås år 1933,Svenska Mosskulturföreningens Tidskrift,,,,,1934,44,,,,,,,Swedish,,,,,"Institution; Sweden; Svenska Mosskulturföreningens Tidskrift (J); Stenberg, M.",
55,FELXZPNG,journalArticle,1933,"Stenberg, M.",Väderlek och årsväxt på försöksgården Gisselås år 1932,Svenska Mosskulturföreningens Tidskrift,,,,,1933,101,,,,,,,Swedish,,,,,"Institution; Sweden; Svenska Mosskulturföreningens Tidskrift (J); Stenberg, M.",
56,QRSRG8AN,journalArticle,1932,"Stenberg, M.",Väderlek och årsväxt på försöksgården Gisselås år 1931,Svenska Mosskulturföreningens Tidskrift,,,,,1932,148,,,,,,,Swedish,,,,,"Institution; Sweden; Svenska Mosskulturföreningens Tidskrift (J); Stenberg, M.",
57,CJH57F6Q,journalArticle,1931,"Sjöström, M.",Meteorologiska iakttagelser vid Ultuna 1931,Redogörelse för verksamheten vid Ultuna Lantbruksinstitut [Report on the activities of the Ultuna Agricultural Institute],,,,,1931,54-64,,,,,,,,,,,,"Report/Proceedings; Institution; Sweden; Sjöström, M.",
58,XXL54IDY,journalArticle,1933,"Odén, S. L. A.; Ångström, A.",Ljusklimatologiska undersökningar och deras praktiska betydelse,I.V.A.,,,,,1933,49-56,,,,,,,,,,,,"Institution; Sweden; Ångström, A.; Odén, S. L. A.",
59,D6QFLVCF,journalArticle,1934,"Malmström, C.; Malmgård, M.",Om skogsdikningsplanens upprättande i övre Norrland. Synpunkter och förslag framkomma i samband med en skogsdikningsplans upprättande for Grankottaliden på Örå revir,Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],,,,Über die Aufstellung von Walddränierungsplänen im oberen Norrland,1934,69–122,,27,,,,,Swedish,,,,,"Report/Proceedings; Institution; Sweden; Malmgård, M.; Malmström, C.",
60,SCPANIAU,journalArticle,1932,"Holmgren, O.",Berättelse över verksamheten vid Sveriges Utsädesförenings Kalmarfilial under åren 1921-1930,Sveriges Utsädesförenings Tidskrift [Swedish Seed Association Journal],,,,,1932,,,,H1,,,,Swedish,,,,,"Institution; Sweden; Holmgren, O.; Swedish Seed Association Journal (J)",
61,AHDAUUF4,journalArticle,1934,"Hesselman, H.",Några studier över fröspridningen hos gran och tall och granhyggets besåning (Einige Beobachtungen über die Beziehung zwischen der Samenproduktion von Fichte und Kiefer und der Besamung der Kahlhiebe),Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],,,,,1934,145–182,,27,,,,,Swedish,,,,,"Hesselman, H.; Report/Proceedings; Sweden; Swedish forest research institute",
62,QPEB99CC,journalArticle,1932,"Arrhenius, O.",Ljusmängd och växande,Svensk Botanisk Tidskrift [Swedish Botanical Journal],,,,(Lichtmenge und Wachsen / Light quantity and growing),1932,94-98,,1-2,26,,,,Swedish,,,,,"Institution; Sweden; Arrhenius, O.; Swedish Botanical Journal (J)",
63,ZZMAHGA5,journalArticle,1919,"Wallén, A.",Les Prévisions Des Niveaux D'eau Et Des Débits En Suède,Geografiska Annaler,2001-4422,10.1080/20014422.1919.11880653,https://doi.org/10.1080/20014422.1919.11880653,,1919,340-352,,3-4,1,,,,French,,,Taylor and Francis+NEJM,,"Geografiska Annaler (J); Sweden; Swedish Meteorological Institute; Wallén, A.",
64,F36JZ22E,journalArticle,1915,"Shaw, W. N.",Organization of the Meteorological Office in London,Monthly Weather Review,0027-0644,10.1175/1520-0493(1915)43<449:OOTMOI>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281915%2943%3C449%3AOOTMOI%3E2.0.CO%3B2,,1915,449-452,,9,43,,,,English,,,journals.ametsoc.org (Atypon),,"Great Britain; Meteorological Office/Ministry of Agriculture; Monthly Weather Review (J); Shaw, W. N.",
65,NTU2KM9U,journalArticle,1921,"Shaw, W. N.",The Artificial Control of Weather,Monthly Weather Review,0027-0644,10.1175/1520-0493(1921)49<244d:TACOW>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281921%2949%3C244d%3ATACOW%3E2.0.CO%3B2,,1921,244-246,,4,49,,,,English,,,journals.ametsoc.org (Atypon),,"Great Britain; Meteorological Office/Ministry of Agriculture; Monthly Weather Review (J); Shaw, W. N.",
66,QGC5ZVMZ,journalArticle,1925,"Shaw, W. N.",If the Earth Went Dry,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49705121404,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49705121404,,1925,77-82,,214,51,,,,English,,,Wiley Online Library,,"Great Britain; Meteorological Office/Ministry of Agriculture; Quarterly Journal of the Royal Meteorological Society (J); Shaw, W. N.",
67,4C6IGI5C,journalArticle,1921,"Simpson, G. C.",Origin of the Southwest Monsoon,Monthly Weather Review,0027-0644,10.1175/1520-0493(1921)49<303d:OOTSM>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281921%2949%3C303d%3AOOTSM%3E2.0.CO%3B2,,1921,303-303,,5,49,,,,English,,,journals.ametsoc.org (Atypon),,"Great Britain; Meteorological Office; Monthly Weather Review (J); Simpson, G. C.",
68,9UG9ECTI,journalArticle,1928,"Taylor, T. G.",The Status of the Australian States,Australian Geographer,0004-9182,10.1080/00049182808702030,https://doi.org/10.1080/00049182808702030,,1928,7-28,,1,1,,,,English,,,Taylor and Francis+NEJM,,"Australia; Australian Geographer (J); Commonwealth Meteorological Service; Taylor, T. G.",
69,JLZQ39X2,journalArticle,1942,"Taylor, T. G.","Environment, Village and City: A Genetic Approach to Urban Geography; with Some Reference to Possibilism",Annals of the Association of American Geographers,0004-5608,10.1080/00045604209357229,https://www.tandfonline.com/doi/abs/10.1080/00045604209357229,,1942,1-67,,1,32,,,,English,,,Taylor and Francis+NEJM,,"Annals of the Association of American Geographers (J); Australia; Commonwealth Meteorological Service; Taylor, T. G.",
70,6C6C4YED,journalArticle,1938,"Walter, A.",The climate of British East Africa,Quarterly Journal of the Royal Meteorological Society,1477-870X,10.1002/qj.49706427312,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.49706427312,,1938,97-116,,273,64,,,,English,,,Wiley Online Library,,"East African Governors Conference; Kenya; Quarterly Journal of the Royal Meteorological Society (J); Walter, A.",
