yield:  [69]
acknowledge:  [1]
assistance:  [1]
prof:  [1]
salmon:  [1]
statistical:  [1]
interpretation:  [1]
a.:  [1]
expt:  [1]
sta:  [1]
j.s.:  [1]
o.r.:  [1]
plain:  [1]
t.:  [1]
j.:  [1]
r.:  [1]
u.:  [1]
28p:  [1]
yields:  [1]
food:  [1]
research:  [1]
inst:  [1]
studies:  [1]
v.:  [1]
